건물명,전체주소,가시성등급,거리,거리등급,점포수,상권발달등급,혼잡도비율,쾌적도등급,접근성소요시간,접근성등급,추천장소이름,장소종류,추천장소여부,Longitude,Latitude,지역1,지역2,지역3,도로명,우편번호,상세주소1,상세주소2
이화여자대학교,서울특별시 서대문구 이화여대길 52,5,3.8264093885710393,4,1405.0,1,0.9357506673795457,1,1058.0,3,,교육연구시설,,126.94815,37.564358,서울특별시,서대문구,대현동,이화여대길,03760,52,
대림아파트,서울특별시 용산구 이촌로2가길 122,5,1.2565059314722828,2,120.5,5,2.1869272628538243,,1307.0,3,,공동주택,,126.954,37.5259,서울특별시,용산구,이촌동,이촌로2가길,04374,122,
유니세프빌딩,서울특별시 마포구 서강로 60,5,2.1573151132112227,3,570.0,2,1.1121645792532693,4,178.0,1,,제2종근린생활시설,,126.932199,37.548544,서울특별시,마포구,창전동,서강로,04099,60,
한강르네상스 여의도3호 매점,서울특별시 영등포구 한강남자전거길 1451,4,1.1930418383627186,2,2138.0,1,1.8626141135104726,5,656.0,2,,비건물,,126.9276,37.5322,서울특별시,영등포구,여의도동,한강남자전거길,07240,1451,
대림동코오롱아파트,서울특별시 영등포구 도영로 2-5,5,4.783523344270852,5,251.75,4,0.986061930206209,2,488.0,2,,공동주택,,126.895576,37.506847,서울특별시,영등포구,대림동,도영로,07376,2,5
삼호아파트,서울특별시 동작구 상도로 407-5,5,4.307423000586804,5,251.25,4,0.9900528040084795,2,510.0,2,,공동주택,,126.956784,37.493781,서울특별시,동작구,상도동,상도로,07026,407,5
강변삼성아파트,서울특별시 용산구 원효로 40,3,0.7955679990320488,1,107.0,5,1.2547661280951055,5,651.0,2,,공동주택,,126.948615,37.534189,서울특별시,용산구,원효로4가,원효로,04365,40,
구세군빌딩,서울특별시 서대문구 충정로 7,4,3.7999049627066017,4,440.0,3,0.9252163232584737,1,165.0,1,,업무시설,,126.962269,37.560121,서울특별시,서대문구,충정로3가,충정로,03737,7,
금투센터,서울특별시 영등포구 의사당대로 143,3,1.731007146119028,2,2138.0,1,1.8626141135104726,5,226.0,1,,업무시설,,126.927579,37.519022,서울특별시,영등포구,여의도동,의사당대로,07332,143,
대교아파트,서울특별시 영등포구 국제금융로7길 20,3,1.1636434530343107,2,2138.0,1,1.8626141135104726,5,712.0,2,,공동주택,,126.933871,37.521589,서울특별시,영등포구,여의도동,국제금융로7길,07340,20,
